Age,HoursPerWeek,MoviesLastMonth,Gender,FavoriteGenre,Subscription,RecommendGroup
,27,18,Female,Sci-Fi,Standard,GroupA
,24,16,Other,Romance,Premium,GroupA
43.0,38,19,Other,Comedy,Basic,GroupB
29.0,32,9,Female,Romance,Basic,GroupB
57.0,0,5,,Sci-Fi,Standard,GroupC
22.0,26,14,Male,Drama,Standard,GroupA
35.0,12,10,Male,Drama,Standard,GroupA
53.0,2,4,Female,Drama,Basic,GroupC
33.0,38,0,Female,Drama,Premium,GroupA
37.0,5,7,Female,Action,Basic,GroupA
25.0,7,11,Male,Drama,Standard,GroupB
25.0,26,11,Other,Sci-Fi,Premium,GroupC
38.0,8,4,Male,,Premium,GroupC
67.0,36,6,Other,Horror,Basic,GroupC
50.0,32,3,Male,Action,Standard,GroupC
54.0,23,5,Other,Drama,Basic,GroupB
38.0,14,12,Male,Drama,Premium,GroupB
17.0,31,19,Female,Drama,Basic,GroupA
36.0,31,14,Male,,Basic,GroupA
67.0,23,2,Other,Comedy,Standard,GroupA
,11,7,Male,Romance,Standard,GroupA
,38,19,Male,Comedy,Premium,GroupB
58.0,1,15,Male,Drama,Basic,GroupC
44.0,2,12,Female,Drama,Basic,GroupB
52.0,36,17,Male,Romance,Basic,GroupA
16.0,16,9,Female,Romance,Premium,GroupB
,1,18,Female,,Premium,GroupC
,1,16,Male,Horror,Standard,GroupC
26.0,27,18,Male,Comedy,Standard,GroupB
36.0,22,4,Male,,Standard,GroupB
,36,8,Other,Sci-Fi,Basic,GroupB
39.0,31,11,Male,Romance,Basic,GroupA
63.0,32,0,Female,Sci-Fi,Standard,GroupB
41.0,0,0,Male,Action,Basic,GroupB
56.0,18,14,Other,Romance,Standard,GroupB
42.0,1,1,Male,Action,Premium,GroupC
30.0,25,15,Other,Horror,Standard,GroupC
29.0,31,7,Other,Comedy,Premium,GroupA
61.0,5,12,Male,Sci-Fi,Basic,GroupA
65.0,31,0,Female,Comedy,Standard,GroupC
58.0,3,15,,Action,Basic,GroupC
69.0,10,6,Male,Sci-Fi,Premium,GroupC
66.0,16,4,Male,Comedy,Premium,GroupB
17.0,37,2,Female,Romance,Premium,GroupB
51.0,23,11,Other,Drama,Basic,GroupC
65.0,4,15,Other,Action,Basic,GroupB
21.0,33,18,Male,Comedy,Basic,GroupB
35.0,5,4,Male,,Basic,GroupA
23.0,21,13,Female,Action,Premium,GroupC
53.0,10,4,Female,Sci-Fi,Premium,GroupC
,15,14,Other,Sci-Fi,Standard,GroupB
,32,16,Other,Drama,Standard,GroupC
39.0,8,13,Male,Romance,Basic,GroupA
28.0,5,19,,Action,Premium,GroupA
64.0,15,4,Female,Comedy,Premium,GroupA
23.0,28,11,Female,Horror,Premium,GroupC
40.0,2,15,Male,Action,Standard,GroupC
67.0,19,15,Female,Action,Standard,GroupC
16.0,35,6,Female,Drama,Premium,GroupC
34.0,18,3,Female,Romance,Premium,GroupC
42.0,25,0,Female,Horror,Premium,GroupA
61.0,2,4,Male,Sci-Fi,Standard,GroupB
,18,9,Male,Sci-Fi,Premium,GroupA
58.0,19,4,Other,Comedy,Premium,GroupC
22.0,31,3,Female,Horror,Basic,GroupA
61.0,6,1,Other,Sci-Fi,Basic,GroupC
,32,19,Male,Comedy,Standard,GroupC
28.0,39,9,Male,Romance,Premium,GroupA
31.0,38,18,Male,Comedy,Premium,GroupC
50.0,17,0,Male,Sci-Fi,Basic,GroupB
64.0,39,4,,,Standard,GroupC
54.0,0,12,Male,Drama,Basic,GroupB
18.0,10,3,Male,Drama,Basic,GroupB
16.0,27,15,Female,Sci-Fi,Basic,GroupC
20.0,24,15,Other,Drama,Basic,GroupA
68.0,22,1,Male,Horror,Premium,GroupB
,30,16,Female,Romance,Premium,GroupA
18.0,29,19,Female,Comedy,Basic,GroupB
68.0,34,11,Other,Comedy,Standard,GroupC
43.0,6,17,Male,Sci-Fi,Standard,GroupC
32.0,15,2,Other,Drama,Standard,GroupB
40.0,25,0,Male,Drama,Standard,GroupC
58.0,1,0,,Action,Basic,GroupB
48.0,0,18,,Romance,Premium,GroupC
24.0,11,10,Female,Horror,Standard,GroupA
50.0,4,4,Female,Comedy,Basic,GroupC
28.0,36,11,Other,Action,Standard,GroupA
45.0,31,2,Male,,Standard,GroupC
62.0,8,0,Male,,Basic,GroupA
29.0,34,0,Other,Comedy,Premium,GroupC
,18,7,Male,Sci-Fi,Premium,GroupA
28.0,15,9,Female,Horror,Basic,GroupB
37.0,2,10,Male,Action,Premium,GroupB
54.0,19,11,Female,Action,Basic,GroupA
35.0,23,12,,Romance,Basic,GroupC
30.0,32,11,Male,Horror,Basic,GroupA
59.0,23,13,Other,Action,Premium,GroupC
32.0,10,1,Male,Horror,Basic,GroupB
61.0,7,18,Female,Comedy,Standard,GroupC
67.0,35,17,Other,Drama,Premium,GroupB
38.0,37,2,Male,Action,Premium,GroupC
40.0,39,16,Female,Romance,Premium,GroupC
39.0,19,7,,Comedy,Premium,GroupC
59.0,34,9,Other,Horror,Standard,GroupA
55.0,24,1,Male,Sci-Fi,Premium,GroupA
,34,18,Male,Comedy,Premium,GroupB
29.0,24,8,Male,Action,Basic,GroupB
59.0,28,6,Female,Horror,Premium,GroupA
15.0,17,3,Male,Drama,Standard,GroupB
,17,17,,Comedy,Standard,GroupA
21.0,1,12,Other,Action,Standard,GroupC
23.0,34,10,Male,Romance,Standard,GroupB
38.0,15,3,Male,Sci-Fi,Premium,GroupB
15.0,35,3,Other,Horror,Premium,GroupA
58.0,32,9,Female,Comedy,Standard,GroupB
22.0,3,4,,Comedy,Standard,GroupB
38.0,32,8,Male,,Premium,GroupC
25.0,13,2,Other,Drama,Standard,GroupB
65.0,20,16,Male,Romance,Basic,GroupC
31.0,19,2,Female,Sci-Fi,Standard,GroupA
22.0,7,15,,Romance,Standard,GroupB
49.0,6,3,,Action,Basic,GroupC
,2,17,Other,Action,Basic,GroupA
47.0,16,16,Male,Romance,Premium,GroupB
19.0,32,6,Male,Sci-Fi,Premium,GroupA
56.0,11,4,Male,,Basic,GroupB
53.0,21,11,Female,Sci-Fi,Basic,GroupA
55.0,21,16,Female,Sci-Fi,Premium,GroupA
42.0,29,12,Other,,Standard,GroupC
21.0,37,2,Male,Sci-Fi,Basic,GroupA
23.0,37,8,Male,Drama,Premium,GroupB
22.0,7,16,,Sci-Fi,Standard,GroupB
26.0,26,16,Male,Sci-Fi,Basic,GroupC
48.0,26,19,Female,Sci-Fi,Standard,GroupB
47.0,33,15,,Action,Premium,GroupB
62.0,20,12,Other,,Basic,GroupB
69.0,29,18,Male,Drama,Standard,GroupA
37.0,32,16,Male,Romance,Basic,GroupA
38.0,27,3,Female,Horror,Standard,GroupB
51.0,32,11,Male,Sci-Fi,Premium,GroupC
49.0,4,8,,Comedy,Premium,GroupA
58.0,18,18,Female,Horror,Basic,GroupC
54.0,3,11,Other,Horror,Standard,GroupB
36.0,34,8,Other,Drama,Basic,GroupB
41.0,16,6,Female,Horror,Basic,GroupA
49.0,27,13,Female,Sci-Fi,Standard,GroupB
15.0,29,19,Female,,Standard,GroupA
49.0,28,18,,Action,Standard,GroupB
51.0,5,14,Female,Sci-Fi,Premium,GroupB
61.0,34,15,Other,Sci-Fi,Basic,GroupA
28.0,36,4,Other,,Basic,GroupA
17.0,23,2,Female,Sci-Fi,Premium,GroupA
15.0,28,11,,Action,Standard,GroupB
19.0,30,19,Female,Comedy,Premium,GroupB
40.0,34,3,Male,,Premium,GroupC
69.0,32,15,,,Premium,GroupA
28.0,20,6,Female,Drama,Basic,GroupB
53.0,31,12,Other,Romance,Premium,GroupB
41.0,22,9,Male,Horror,Basic,GroupA
23.0,32,6,Male,Romance,Basic,GroupC
29.0,2,13,Other,Sci-Fi,Basic,GroupA
29.0,17,4,Other,Comedy,Standard,GroupC
40.0,24,2,,Sci-Fi,Basic,GroupB
56.0,30,10,Other,Horror,Basic,GroupC
27.0,2,10,Male,Drama,Standard,GroupB
65.0,39,17,Male,Horror,Basic,GroupA
46.0,23,14,Female,Action,Premium,GroupA
53.0,31,11,Female,Horror,Premium,GroupA
63.0,21,8,Other,Action,Basic,GroupC
66.0,22,9,Other,Horror,Standard,GroupB
46.0,1,11,Other,Action,Premium,GroupA
18.0,26,16,Female,Comedy,Standard,GroupA
,1,5,Female,Sci-Fi,Standard,GroupB
51.0,25,6,Female,Sci-Fi,Premium,GroupA
,16,13,Female,Romance,Standard,GroupB
53.0,39,12,Female,,Premium,GroupB
59.0,32,7,Female,Drama,Standard,GroupB
29.0,8,9,Female,Horror,Premium,GroupB
57.0,38,8,Other,Romance,Basic,GroupB
43.0,28,17,Other,Drama,Premium,GroupC
50.0,25,1,Other,Drama,Premium,GroupA
27.0,34,4,Other,,Premium,GroupC
46.0,24,4,Female,Sci-Fi,Premium,GroupA
21.0,23,5,Male,,Standard,GroupC
65.0,12,18,Female,Comedy,Basic,GroupB
,6,7,Male,Romance,Premium,GroupA
42.0,35,15,Other,Comedy,Standard,GroupA
16.0,19,12,Female,Horror,Basic,GroupC
56.0,0,0,Other,Comedy,Basic,GroupC
59.0,7,19,,Romance,Basic,GroupA
67.0,15,16,Other,Comedy,Basic,GroupC
20.0,13,6,Male,Horror,Premium,GroupC
42.0,11,12,Male,Action,Premium,GroupC
42.0,22,3,Male,Romance,Standard,GroupB
58.0,14,3,Female,Action,Standard,GroupB
58.0,27,5,Male,,Standard,GroupC
34.0,33,18,Female,Action,Basic,GroupC
,1,11,Male,Drama,Basic,GroupB
25.0,31,6,Male,Sci-Fi,Premium,GroupB
